name,cover,price,author,publisher,isbn,publish_date,pages,path
半工（农）半读参考资料索引：1958.7-1965.6,https://a.dushu.com/img/n200.png,¥0.00,福建师范学院教育系资料室编,福建师范学院教育系资料室,,1965-01-01,90页,中国文学论著集目续编.jpg
共产主义教育方针参考资料索引,https://a.dushu.com/img/n200.png,¥0.00,中央民族学院图书馆编,中央民族学院图书馆,,1958-01-01,35页,中国文学论著集目续编.jpg
西厢记及其有关论著目录,https://a.dushu.com/img/n200.png,¥0.00,国立北京图书馆参考研究组编,国立北京图书馆参考研究组,,1954-01-01,10页,中国文学论著集目续编.jpg
馆藏陆放翁著述及其有关传记资料目录,https://a.dushu.com/img/n200.png,¥0.00,国立北京图书馆参考研究组编,国立北京图书馆参考研究组,,1900-01-01,6页,中国文学论著集目续编.jpg
纪念草叶集出版一百周年：1855-1955,https://a.dushu.com/img/n200.png,¥0.00,北京图书馆编,北京图书馆,,1955-01-01,6页,中国文学论著集目续编.jpg
中国古代重要著作选目,https://a.dushu.com/img/n200.png,¥0.00,北京图书馆编,北京图书馆,,1953-01-01,5页,中国文学论著集目续编.jpg
name,cover,price,author,publisher,isbn,publish_date,pages,path
深宫缭乱,https://img.dushu.com/2020/01/02/113119620114042438.jpg_200.jpg,¥78.00,尤四姐 著,长江出版社,9787549268344,2020-01-01,616,深宫缭乱.jpg
张忠培论良渚,https://img.dushu.com/2020/01/02/11313760114042964.jpg_200.jpg,¥108.00,良渚博物馆 著,科学出版社,9787030628220,2019-11-01,173,张忠培论良渚.jpg
中国方术续考（典藏本）,https://img.dushu.com/2020/01/02/113141199114041372.jpg_200.jpg,¥108.00,李零 著,中华书局,9787101127966,2019-12-01,,中国方术续考（典藏本）.jpg
中国近三百年学术史（校订本）,https://img.dushu.com/2020/01/02/113142183114047261.jpg_200.jpg,¥68.00,梁启超 著，俞国林 校,中华书局,9787101139402,2019-12-01,,中国近三百年学术史（校订本）.jpg
大学生职业生涯规划,https://img.dushu.com/2020/01/02/112751411114048897.jpg_200.jpg,¥36.00,李晓波，张晓薇，江奕儒 编,江苏大学出版社,9787568412131,2019-10-01,,大学生职业生涯规划.jpg
育婴员（高级）,https://img.dushu.com/2020/01/02/111734944114047151.jpg_200.jpg,¥33.00,人力资源社会保障部教材办公室 著,中国劳动社会保障出版社,9787516741726,2019-11-01,184,育婴员（高级）.jpg
健康一生,https://img.dushu.com/2019/12/30/100724253119001352.jpg_200.jpg,¥29.80,暂缺,上海交通大学出版社,9787313218582,2019-09-01,233,健康一生.jpg
中国电影产业资本化进程研究,https://img.dushu.com/2020/01/02/112458806114044150.jpg_200.jpg,¥88.00,周子钧 著,中国经济出版社,9787513653688,2019-12-01,368,中国电影产业资本化进程研究.jpg
基础会计,https://img.dushu.com/2019/12/11/10085482017915.jpg_200.jpg,¥38.00,王朝辉,科学出版社,9787030549815,2017-11-01,,基础会计.jpg
制造忠诚,https://img.dushu.com/2019/12/11/10104053046094.jpg_200.jpg,¥85.00,曾老,光明日报出版社,9787519436797,2018-01-01,520,制造忠诚.jpg
高等数学（工科类 第二版）,https://img.dushu.com/2019/12/11/10050598963936.jpg_200.jpg,¥37.00,肖文，李亨蓉，杨俊,高等教育出版社,9787040484687,2017-08-01,300,高等数学（工科类 第二版）.jpg
审计实务习题与实训,https://img.dushu.com/2019/12/11/10051481161003.jpg_200.jpg,¥23.00,杨华,东北财经大学出版社,9787565425493,2016-12-01,182,审计实务习题与实训.jpg
成本会计学学习指导书（第2版）,https://img.dushu.com/2019/12/11/10051696895901.jpg_200.jpg,¥32.00,陈云,立信会计出版社,9787542949080,2016-01-01,247,成本会计学学习指导书（第2版）.jpg
数据库原理与SQL语言,https://img.dushu.com/2019/12/11/1000119411603.jpg_200.jpg,¥36.00,余恒芳，汪晓青，李宗山，张克斌，于继武,中国水利水电出版社,9787517059639,2017-10-01,,数据库原理与SQL语言.jpg
给孩子的历史人物故事：心灵手巧成大器,https://img.dushu.com/2019/12/16/103443336178488219.jpg_200.jpg,¥22.80,张实，淑珍 著，海豚传媒 编,长江少年儿童出版社,9787556079872,2019-11-01,128,给孩子的历史人物故事：心灵手巧成大器.jpg
Java Web程序设计实验指导（高职高专 第二版）,https://img.dushu.com/2019/12/05/10384890929849.jpg_200.jpg,¥22.00,李俊青，新世纪高职高专教材编审委员会,大连理工大学出版社,9787561186329,2014-01-01,136,Java Web程序设计实验指导（高职高专 第二版）.jpg
儿童文学光荣榜：一只想飞的猫,https://img.dushu.com/2019/12/16/103444786178489059.jpg_200.jpg,¥19.80,陈伯吹 著,中国出版集团,9787514379099,2019-11-01,,儿童文学光荣榜：一只想飞的猫.jpg
中医药学概论（第2版）,https://img.dushu.com/2019/12/11/09230579863164.jpg_200.jpg,¥39.80,朱孆,江苏凤凰科学技术出版社,9787553786575,2018-01-01,,中医药学概论（第2版）.jpg
PLC综合应用技术（FX2N系列 第二版）,https://img.dushu.com/2019/12/11/09221281244880.jpg_200.jpg,¥27.00,童克波，新世纪高职高专教材编审委员会,大连理工大学出版社,9787561184370,2014-06-01,179,PLC综合应用技术（FX2N系列 第二版）.jpg
儿童文学光荣榜：古蜀,https://img.dushu.com/2019/12/16/103445646178486692.jpg_200.jpg,¥28.80,王晋康 著,中国出版集团,9787514378948,2019-11-01,,儿童文学光荣榜：古蜀.jpg
有机化学实验（第二版）,https://img.dushu.com/2019/12/11/09360822369082.jpg_200.jpg,¥28.00,姚刚，王红梅,化学工业出版社,9787122310965,2018-02-01,177,有机化学实验（第二版）.jpg
化工原理实验,https://img.dushu.com/2019/12/11/09274371576101.jpg_200.jpg,¥27.00,暂缺,北京理工大学出版社,9787568241755,2017-11-01,,化工原理实验.jpg
上市公司年报编制与披露指南,https://img.dushu.com/2019/12/11/08454632349932.jpg_200.jpg,¥68.00,史多丽,复旦大学出版社,9787309134162,2017-12-01,,上市公司年报编制与披露指南.jpg
消防给水系统设计,https://img.dushu.com/2019/12/11/09264529698811.jpg_200.jpg,¥40.00,颜峻,气象出版社,9787502965877,2017-07-01,210,消防给水系统设计.jpg
温病学,https://img.dushu.com/2019/12/05/10390498837512.jpg_200.jpg,¥35.00,南京中医学院（南京中医药大学）,上海科学技术出版社,9787547837108,2017-12-01,178,温病学.jpg
企业信息系统的云化迁移研究,https://img.dushu.com/2019/12/11/08512892211379.jpg_200.jpg,¥38.00,苗虹,江苏大学出版社,9787568406772,2017-11-01,,企业信息系统的云化迁移研究.jpg
圈 领之道：钢领钢丝圈的技术分析、发展与使用,https://img.dushu.com/2019/11/24/09523931370902.jpg_200.jpg,¥38.00,唐文辉，秋黎凤，王可平,西北工业大学出版社,9787561257098,2017-11-01,,圈 领之道：钢领钢丝圈的技术分析、发展与使用.jpg
FPGA技术及应用,https://img.dushu.com/2019/11/24/0953346931080.jpg_200.jpg,¥39.50,李翠锦，朱济宇，钱雅楠，李成勇,西南交通大学出版社,9787564358112,2017-09-01,,FPGA技术及应用.jpg
云南生态文化教育实践手册,https://img.dushu.com/2019/11/24/09503035487506.jpg_200.jpg,¥32.00,李维锦 等,中国铁道出版社,9787113233402,2017-08-01,132,云南生态文化教育实践手册.jpg
劳动经济学（第2版）,https://img.dushu.com/2019/11/24/09363440486639.jpg_200.jpg,¥45.00,姚裕群，杨俊青，杨永贵，陆义敏 等,北京师范大学出版社,9787303221585,2017-05-01,392,劳动经济学（第2版）.jpg
大学物理学（下册 第三版）,https://img.dushu.com/2019/11/24/08374022311251.jpg_200.jpg,¥39.80,熊伦，俎凤霞,科学出版社,9787030552792,2017-11-01,236,大学物理学（下册 第三版）.jpg
经济学基础,https://img.dushu.com/2019/11/24/09363322574754.jpg_200.jpg,¥43.00,王丹,北京对外经贸大学出版社,9787566318381,2017-09-01,,经济学基础.jpg
行为金融学,https://img.dushu.com/2019/11/24/09191152656685.jpg_200.jpg,¥38.00,李刚,东北财经大学出版社,9787565429569,2017-09-01,,行为金融学.jpg
